Neigh,CSA,Zip,MHINC,TotalCOVIDCases
Downtown,Downtown/Seton Hill,21201,57516.7,311.0
Seton Hill,Downtown/Seton Hill,21201,57516.7,311.0
University of Maryland,Downtown/Seton Hill,21201,57516.7,311.0
Downtown West,Inner Harbor/Federal Hill,21201,100932.2,311.0
Federal Hill,Inner Harbor/Federal Hill,21201,100932.2,311.0
Inner Harbor,Inner Harbor/Federal Hill,21201,100932.2,311.0
Otterbein,Inner Harbor/Federal Hill,21201,100932.2,311.0
Ridgely's Delight,Inner Harbor/Federal Hill,21201,100932.2,311.0
Riverside,Inner Harbor/Federal Hill,21201,100932.2,311.0
Sharp-Leadenhall,Inner Harbor/Federal Hill,21201,100932.2,311.0
South Baltimore,Inner Harbor/Federal Hill,21201,100932.2,311.0
Stadium Area,Inner Harbor/Federal Hill,21201,100932.2,311.0
Bolton Hill,Midtown,21201,52477.2,311.0
Charles North,Midtown,21201,52477.2,311.0
Greenmount West,Midtown,21201,52477.2,311.0
Mid-Town Belvedere,Midtown,21201,52477.2,311.0
Mount Vernon,Midtown,21201,52477.2,311.0
Hollins Market,Poppleton/The Terraces/Hollins Market,21201,20365.8,311.0
Poppleton,Poppleton/The Terraces/Hollins Market,21201,20365.8,311.0
Druid Heights,Upton/Druid Heights,21201,21359.0,311.0
Heritage Crossing,Upton/Druid Heights,21201,21359.0,311.0
Madison Park,Upton/Druid Heights,21201,21359.0,311.0
Upton,Upton/Druid Heights,21201,21359.0,311.0
Barre Circle,Washington Village/Pigtown,21201,48273.2,311.0
Caroll-Camden Industrial Area,Washington Village/Pigtown,21201,48273.2,311.0
Carroll Park,Washington Village/Pigtown,21201,48273.2,311.0
Washington Village/Pigtown,Washington Village/Pigtown,21201,48273.2,311.0
Greenmount Cemetery,Greenmount East,21202,27320.2,611.0
Johnston Square,Greenmount East,21202,27320.2,611.0
Oliver,Greenmount East,21202,27320.2,611.0
Jonestown,Harbor East/Little Italy,21202,44087.0,611.0
Little Italy,Harbor East/Little Italy,21202,44087.0,611.0
Perkins Homes,Harbor East/Little Italy,21202,44087.0,611.0
Washington Hill,Harbor East/Little Italy,21202,44087.0,611.0
Downtown West,Inner Harbor/Federal Hill,21202,100932.2,611.0
Federal Hill,Inner Harbor/Federal Hill,21202,100932.2,611.0
Inner Harbor,Inner Harbor/Federal Hill,21202,100932.2,611.0
Otterbein,Inner Harbor/Federal Hill,21202,100932.2,611.0
Ridgely's Delight,Inner Harbor/Federal Hill,21202,100932.2,611.0
Riverside,Inner Harbor/Federal Hill,21202,100932.2,611.0
Sharp-Leadenhall,Inner Harbor/Federal Hill,21202,100932.2,611.0
South Baltimore,Inner Harbor/Federal Hill,21202,100932.2,611.0
Stadium Area,Inner Harbor/Federal Hill,21202,100932.2,611.0
Bolton Hill,Midtown,21202,52477.2,611.0
Charles North,Midtown,21202,52477.2,611.0
Greenmount West,Midtown,21202,52477.2,611.0
Mid-Town Belvedere,Midtown,21202,52477.2,611.0
Mount Vernon,Midtown,21202,52477.2,611.0
CARE,Oldtown/Middle East,21202,19374.1,611.0
Dunbar-Broadway,Oldtown/Middle East,21202,19374.1,611.0
Gay Street,Oldtown/Middle East,21202,19374.1,611.0
Middle East,Oldtown/Middle East,21202,19374.1,611.0
Oldtown,Oldtown/Middle East,21202,19374.1,611.0
Penn-Fallsway,Oldtown/Middle East,21202,19374.1,611.0
Pleasant View Gardens,Oldtown/Middle East,21202,19374.1,611.0
Pleasant View Gardens,Orangeville/E. Highlandtown,21202,19374.1,611.0
Armistead Gardens,Claremont/Armistead,21205,34885.4,533.0
Orchard Ridge,Claremont/Armistead,21205,34885.4,533.0
Greenmount Cemetery,Greenmount East,21205,27320.2,533.0
Johnston Square,Greenmount East,21205,27320.2,533.0
Oliver,Greenmount East,21205,27320.2,533.0
Madison-Eastend,Madison/East End,21205,33528.7,533.0
McElderry Park,Madison/East End,21205,33528.7,533.0
Milton-Montford,Madison/East End,21205,33528.7,533.0
CARE,Oldtown/Middle East,21205,19374.1,533.0
Dunbar-Broadway,Oldtown/Middle East,21205,19374.1,533.0
Gay Street,Oldtown/Middle East,21205,19374.1,533.0
Middle East,Oldtown/Middle East,21205,19374.1,533.0
Oldtown,Oldtown/Middle East,21205,19374.1,533.0
Penn-Fallsway,Oldtown/Middle East,21205,19374.1,533.0
Pleasant View Gardens,Oldtown/Middle East,21205,19374.1,533.0
Cedmont,Cedonia/Frankford,21206,44159.5,1424.0
Cedonia,Cedonia/Frankford,21206,44159.5,1424.0
Frankford,Cedonia/Frankford,21206,44159.5,1424.0
Parkside,Cedonia/Frankford,21206,44159.5,1424.0
Armistead Gardens,Claremont/Armistead,21206,34885.4,1424.0
Orchard Ridge,Claremont/Armistead,21206,34885.4,1424.0
Glenham-Belford,Hamilton,21206,71690.9,1424.0
Rosemont East,Hamilton,21206,71690.9,1424.0
Westfield,Hamilton,21206,71690.9,1424.0
Harford-Echodale/Perring Parkway,Harford/Echodale,21206,56655.8,1424.0
North Harford Road,Harford/Echodale,21206,56655.8,1424.0
Overlea,Harford/Echodale,21206,56655.8,1424.0
Taylor Heights,Harford/Echodale,21206,56655.8,1424.0
Arcadia,Lauraville,21206,69536.6,1424.0
Belair-Parkside,Lauraville,21206,69536.6,1424.0
Beverly Hills,Lauraville,21206,69536.6,1424.0
Lauraville,Lauraville,21206,69536.6,1424.0
Moravia-Walther,Lauraville,21206,69536.6,1424.0
Morgan Park,Lauraville,21206,69536.6,1424.0
Waltherson,Lauraville,21206,69536.6,1424.0
Dickeyville,Dickeyville/Franklintown,21207,37847.5,1279.0
Franklintown,Dickeyville/Franklintown,21207,37847.5,1279.0
Purnell,Dickeyville/Franklintown,21207,37847.5,1279.0
Wakefield,Dickeyville/Franklintown,21207,37847.5,1279.0
Concerned Citizens Of Forest Park,Forest Park/Walbrook,21207,44764.3,1279.0
Fairmont,Forest Park/Walbrook,21207,44764.3,1279.0
Forest Park,Forest Park/Walbrook,21207,44764.3,1279.0
Garwyn Oaks,Forest Park/Walbrook,21207,44764.3,1279.0
Mount Holly,Forest Park/Walbrook,21207,44764.3,1279.0
West Forest Park,Forest Park/Walbrook,21207,44764.3,1279.0
Windsor Hills,Forest Park/Walbrook,21207,44764.3,1279.0
Highlandtown,Howard Park/W. Arlington,21207,88324.0,1279.0
South Clifton Park,Cross Country/Cheswolde,21208,31291.1,876.0
Windsor Hills,Glen-Fallstaff,21208,42439.1,876.0
South Clifton Park,Cross Country/Cheswolde,21209,31291.1,339.0
Ashburton,Dorchester/Ashburton,21209,45497.3,339.0
Callaway-Garrison,Dorchester/Ashburton,21209,45497.3,339.0
Central Forest Park,Dorchester/Ashburton,21209,45497.3,339.0
Dolfield,Dorchester/Ashburton,21209,45497.3,339.0
Dorchester,Dorchester/Ashburton,21209,45497.3,339.0
East Arlington,Dorchester/Ashburton,21209,45497.3,339.0
Cross Keys,Greater Roland Park/Poplar Hill,21209,117951.4,339.0
Evergreen,Greater Roland Park/Poplar Hill,21209,117951.4,339.0
Keswick,Greater Roland Park/Poplar Hill,21209,117951.4,339.0
North Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,21209,117951.4,339.0
Roland Park,Greater Roland Park/Poplar Hill,21209,117951.4,339.0
Wyndhurst,Greater Roland Park/Poplar Hill,21209,117951.4,339.0
Hampden,Medfield/Hampden/Woodberry/Remington,21209,68526.0,339.0
Hoes Heights,Medfield/Hampden/Woodberry/Remington,21209,68526.0,339.0
Jones Falls Area,Medfield/Hampden/Woodberry/Remington,21209,68526.0,339.0
Medfield,Medfield/Hampden/Woodberry/Remington,21209,68526.0,339.0
