,Zip Code,MHINC,Pop2010,TotalCases
0,21201,48044.11111111111,94655,395
1,21202,53117.98888888889,92987,757
2,21205,38678.15714285714,67771,617
3,21206,53439.02857142857,100449,1812
4,21207,47495.61666666667,56773,1584
5,21208,49056.35,27948,1288
6,21209,64002.13333333334,68067,699
7,21210,82454.58,63788,96
8,21211,56940.450000000004,79128,232
9,21212,73300.95999999999,58589,744
10,21213,38321.399999999994,112681,974
11,21214,59342.81999999999,76173,516
12,21215,47794.718181818185,127102,2049
13,21216,39209.887500000004,92027,810
14,21217,37689.8625,109179,802
15,21218,52487.73636363636,150527,1164
16,21222,36666.3,6260,1810
17,21223,38385.09,110439,715
18,21224,71251.37142857142,62110,2390
19,21225,32534.4,22445,934
20,21226,39936.5,14243,142
21,21227,47486.950000000004,29453,1016
22,21228,58055.3,12264,1451
23,21229,46606.51111111111,91758,1493
24,21230,53844.21000000001,83448,1072
25,21231,69093.02857142857,67752,441
26,21234,54366.9,32150,1810
27,21236,56655.8,16839,900
28,21237,49335.45,32688,1083
29,21239,52662.3,67230,970
30,21251,62866.9,28916,0
31,21287,19374.1,10021,0
